Gender,Age,Dur,ppv
Male,22,6,5.563833933
Male,22,7,6.395331837
Male,22,8,7.201612266
Male,22,9,7.98343046
Male,22,10,8.741519333
Male,22,11,9.476588874
Male,22,12,10.18932136
Male,22,13,10.88036769
Male,22,14,11.55034831
Male,22,15,12.19985425
Male,22,16,12.82944811
Male,22,17,13.43966514
Male,22,18,14.03101439
Male,22,19,14.60397961
Male,22,20,15.1590206
Male,22,21,15.69657418
Male,22,22,16.21705543
Male,22,23,16.72085879
Male,22,24,17.20835922
Male,22,25,17.67991347
Male,22,26,18.13586114
Male,22,27,18.57652594
Male,22,28,19.00221686
Male,22,29,19.41322942
Male,22,30,19.80983907
Male,22,31,20.19231493
Male,22,32,20.56090944
Male,22,33,20.91585866
Male,22,34,21.25738266
Male,22,35,21.58568607
Male,22,36,21.90095864
Male,22,37,22.20337599
Male,22,38,22.49310041
Male,22,39,22.7702819
Male,22,40,23.03505943
Male,22,41,23.28756235
Male,22,42,23.52791203
Male,22,43,23.75622387
Male,22,44,23.9726096
Male,22,45,24.17717975
Male,22,46,24.37004673
Male,22,47,24.551328
Male,22,48,24.72114973
Male,22,49,24.87965073
Male,22,50,25.02698664
Male,23,1,1
Male,23,2,1.969731456
Male,23,3,2.910099068
Male,23,4,3.821980844
Male,23,5,4.706228884
Male,23,6,5.56367013
Male,23,7,6.395107097
Male,23,8,7.201318589
Male,23,9,7.983060388
Male,23,10,8.741064636
Male,23,11,9.476034901
Male,23,12,10.18864238
Male,23,13,10.87952688
Male,23,14,11.54929788
Male,23,15,12.19853552
Male,23,16,12.82779178
Male,23,17,13.43759155
Male,23,18,14.02843371
Male,23,19,14.60079238
Male,23,20,15.15511803
Male,23,21,15.69183867
Male,23,22,16.21136107
Male,23,23,16.71407187
Male,23,24,17.20033895
Male,23,25,17.67051252
Male,23,26,18.12492638
Male,23,27,18.56389917
Male,23,28,18.98773563
Male,23,29,19.39671978
Male,23,30,19.79112917
Male,23,31,20.1712241
Male,23,32,20.53724799
Male,23,33,20.88942779
Male,23,34,21.22797451
Male,23,35,21.55308381
Male,23,36,21.8649368
Male,23,37,22.16370083
Male,23,38,22.44953059
Male,23,39,22.72256938
Male,23,40,22.98295056
Male,23,41,23.23079933
Male,23,42,23.46623467
Male,23,43,23.68937179
Male,23,44,23.90032469
Male,23,45,24.09920925
Male,23,46,24.28614663
Male,23,47,24.46126692
Male,23,48,24.62471326
Male,23,49,24.77664616
Male,23,50,24.91724804
Male,24,1,1
Male,24,2,1.969719612
Male,24,3,2.910064251
Male,24,4,3.821912613
Male,24,5,4.706117451
Male,24,6,5.563506331
Male,24,7,6.394882365
Male,24,8,7.201024926
Male,24,9,7.982689007
Male,24,10,8.740600138
Male,24,11,9.475450462
Male,24,12,10.18789976
Male,24,13,10.87857655
Male,24,14,11.54807906
Male,24,15,12.19697649
Male,24,16,12.82581014
Male,24,17,13.43509445
Male,24,18,14.02531834
Male,24,19,14.59694634
Male,24,20,15.15041982
Male,24,21,15.68615823
Male,24,22,16.20456031
Male,24,23,16.7060054
Male,24,24,17.19085466
Male,24,25,17.65945229
Male,24,26,18.11212688
Male,24,27,18.54919267
Male,24,28,18.97094258
Male,24,29,19.3776628
Male,24,30,19.76962176
Male,24,31,20.14707047
Male,24,32,20.51024298
Male,24,33,20.85935686
Male,24,34,21.19461391
Male,24,35,21.51620086
Male,24,36,21.82429032
Male,24,37,22.11904177
Male,24,38,22.40060301
Male,24,39,22.66911156
Male,24,40,22.92469651
Male,24,41,23.16748057
Male,24,42,23.39758254
Male,24,43,23.61511998
Male,24,44,23.82021239
Male,24,45,24.01298471
Male,24,46,24.19357108
Male,24,47,24.36211913
Male,24,48,24.51879436
Male,24,49,24.66378489
Male,24,50,24.79730621
Male,25,1,1
Male,25,2,1.969707767
Male,25,3,2.910029434
Male,25,4,3.821844383
Male,25,5,4.706006021
Male,25,6,5.563342538
Male,25,7,6.394657643
Male,25,8,7.200729905
Male,25,9,7.982307509
Male,25,10,8.740104211
Male,25,11,9.4748004
Male,25,12,10.1870442
